№,Наименование организации,ИНН,ОГРН,Регион организации,Юридический адрес,Регион объекта,Адрес осуществления деятельности,Номер лицензии,Дата лицензии,Статус лицензии,Работы/услуги
11,"Общество с ограниченной ответственностью ""Алоэ ЦФО""",4826103085,1144827003023,Санкт-Петербург,"197375, Россия, г. Санкт-Петербург, ул. Маршала Новикова, д. 28, корп. 2, лит.А, пом. 13-Н, к.32",Санкт-Петербург,"194358, г. Санкт-Петербург, ул. Симонова, д. 13, корп.2, лит. А, 1-Н, ч.пом. №2",Л042-01195-48/00589384,2020-11-18,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
12,"Общество с ограниченной ответственностью ""Алоэ ЦФО""",4826103085,1144827003023,Санкт-Петербург,"197375, Россия, г. Санкт-Петербург, ул. Маршала Новикова, д. 28, корп. 2, лит.А, пом. 13-Н, к.32",Санкт-Петербург,"191119, г. Санкт-Петербург, Звенигородская ул., д. 1, корп. 2, лит.А, 13-Н, ч.пом.2",Л042-01195-48/00589384,2020-11-18,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
13,"Общество с ограниченной ответственностью ""Архи-Мед""",6312053182,1036300128369,Самарская область,"443111, Россия, Самарская область, г. Самара, Ново-Вокзальная ул, д. 146а, Комната 37",Санкт-Петербург,"192012, г. Санкт-Петербург, муниципальный округ Обуховский, ул. Бабушкина, дом 82, корпус 3, строение 1, помещение 19-Н",Л042-01193-86/00590234,2021-04-27,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
14,"Общество с ограниченной ответственностью ""Планета Здоровья Холдинг""",5902058784,1205900018940,Пермский край,"614000, Россия, Пермский край, г. Пермь, проспект Комсомольский, д. 1, подъезд 2, этаж 4, помещение 33",Санкт-Петербург,"196158, г. Санкт-Петербург, муниципальный округ Звездное, ул. Среднерогатская, д. 11, строение 1, часть пом.120-Н",Л042-01193-86/00563370,2021-02-05,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
15,"Общество с ограниченной ответственностью ""Планета Здоровья Холдинг""",5902058784,1205900018940,Пермский край,"614000, Россия, Пермский край, г. Пермь, проспект Комсомольский, д. 1, подъезд 2, этаж 4, помещение 33",Санкт-Петербург,"199155, г. Санкт-Петербург, Наличная ул., д. 49, литер А, пом.40-Н, пом.5-9, ч. Пом.1",Л042-01193-86/00563370,2021-02-05,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
16,"Общество с ограниченной ответственностью ""Планета Здоровья Холдинг""",5902058784,1205900018940,Пермский край,"614000, Россия, Пермский край, г. Пермь, проспект Комсомольский, д. 1, подъезд 2, этаж 4, помещение 33",Санкт-Петербург,"194354, г. Санкт-Петербург, Сикейроса улица, д. 6, корпус 1, литера А, пом.24-Н, пом.51-Н",Л042-01193-86/00563370,2021-02-05,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
17,"Общество с ограниченной ответственностью ""Планета Здоровья Холдинг""",5902058784,1205900018940,Пермский край,"614000, Россия, Пермский край, г. Пермь, проспект Комсомольский, д. 1, подъезд 2, этаж 4, помещение 33",Санкт-Петербург,"197349, г. Санкт-Петербург, Уточкина улица, д. 1, корпус 1, литера А, 17-Н, пом.№ 1-4",Л042-01193-86/00563370,2021-02-05,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
18,"Общество с ограниченной ответственностью ""Планета Здоровья Холдинг""",5902058784,1205900018940,Пермский край,"614000, Россия, Пермский край, г. Пермь, проспект Комсомольский, д. 1, подъезд 2, этаж 4, помещение 33",Санкт-Петербург,"194100, г. Санкт-Петербург, муниципальный округ Сампсониевское, ул. Грибалёвой, д. 7, корпус 1, строение 1, помещение 12-Н",Л042-01193-86/00563370,2021-02-05,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
19,"Общество с ограниченной ответственностью ""Бетта-6""",6312069707,1066312060990,Самарская область,"443070, Россия, Самарская область, г. Самара, ул. Аэродромная, д. 29, офис 38",Санкт-Петербург,"197373, г. Санкт-Петербург, ул. Долгоозерная, д. 14, литера. А, пом. 12-Н",Л042-01187-71/00590359,2020-08-25,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
20,"Общество с ограниченной ответственностью ""Бетта-6""",6312069707,1066312060990,Самарская область,"443070, Россия, Самарская область, г. Самара, ул. Аэродромная, д. 29, офис 38",Санкт-Петербург,"191119, г. Санкт-Петербург, ул. Марата, дом 86, литера А, 1Н, пом. 12",Л042-01187-71/00590359,2020-08-25,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
21,"Общество с ограниченной ответственностью ""Бетта-6""",6312069707,1066312060990,Самарская область,"443070, Россия, Самарская область, г. Самара, ул. Аэродромная, д. 29, офис 38",Санкт-Петербург,"198328, г. Санкт-Петербург, улица Маршала Захарова, д.23, литера А, помещение 3-Н",Л042-01187-71/00590359,2020-08-25,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
22,"Общество с ограниченной ответственностью ""Бетта-6""",6312069707,1066312060990,Самарская область,"443070, Россия, Самарская область, г. Самара, ул. Аэродромная, д. 29, офис 38",Санкт-Петербург,"182241, г. Санкт-Петербург, Южное шоссе, дом 53, корпус 2, строение 1, помещение 16-Н",Л042-01187-71/00590359,2020-08-25,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
23,"Общество с ограниченной ответственностью ""Бетта-6""",6312069707,1066312060990,Самарская область,"443070, Россия, Самарская область, г. Самара, ул. Аэродромная, д. 29, офис 38",Санкт-Петербург,"198324, г. Санкт-Петербург, г. Красное Село, проспект Ленина, д.51, литера А, часть пом.4-Н, пом.1-5",Л042-01187-71/00590359,2020-08-25,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
24,"Общество с ограниченной ответственностью ""Бетта-6""",6312069707,1066312060990,Самарская область,"443070, Россия, Самарская область, г. Самара, ул. Аэродромная, д. 29, офис 38",Санкт-Петербург,"198330, г. Санкт-Петербург, Ленинский проспект, дом 93, корпус 1, литера А, пом.4-Н",Л042-01187-71/00590359,2020-08-25,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
25,"Общество с ограниченной ответственностью ""Бетта-6""",6312069707,1066312060990,Самарская область,"443070, Россия, Самарская область, г. Самара, ул. Аэродромная, д. 29, офис 38",Санкт-Петербург,"192212, г. Санкт-Петербург, ул. Будапештская, д.19, к.1, литера А. Часть пом.5-Н, пом.2-9",Л042-01187-71/00590359,2020-08-25,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
26,"Общество с ограниченной ответственностью ""Бетта-6""",6312069707,1066312060990,Самарская область,"443070, Россия, Самарская область, г. Самара, ул. Аэродромная, д. 29, офис 38",Санкт-Петербург,"198328, г. Санкт-Петербург, проспект Ленинский, д.67, к.1, литера А, помещение 6-Н",Л042-01187-71/00590359,2020-08-25,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
27,"Общество с ограниченной ответственностью ""Бетта-6""",6312069707,1066312060990,Самарская область,"443070, Россия, Самарская область, г. Самара, ул. Аэродромная, д. 29, офис 38",Санкт-Петербург,"192212, г. Санкт-Петербург, Будапештская улица, дом 39, литера А, помещение 12-Н, часть пом.1, пом.2,3",Л042-01187-71/00590359,2020-08-25,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
28,"Общество с ограниченной ответственностью ""Бетта-6""",6312069707,1066312060990,Самарская область,"443070, Россия, Самарская область, г. Самара, ул. Аэродромная, д. 29, офис 38",Санкт-Петербург,"194361, г. Санкт-Петербург, п. Левашово, улица Володарского, д.4, литера А, часть пом.1-Н, пом.23-25",Л042-01187-71/00590359,2020-08-25,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
29,"Общество с ограниченной ответственностью ""Шалфей""",5824901122,1145827000417,Пензенская область,"442630, Россия, Пензенская область, Наровчатский район, с. Наровчат, ул. К. Маркса, д. 26А, ком. 10",Санкт-Петербург,"194354, г. Санкт-Петербург, ул. Есенина, д. 5, литера Б, пом. 1-Н (часть пом. 2)",Л042-01187-71/00589927,2021-04-28,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
30,"Общество с ограниченной ответственностью ""Шалфей""",5824901122,1145827000417,Пензенская область,"442630, Россия, Пензенская область, Наровчатский район, с. Наровчат, ул. К. Маркса, д. 26А, ком. 10",Санкт-Петербург,"194352, г. Санкт-Петербург, проспект Художников, д. 30, к. 1, литера А, помещение 2-Н (пом. 8,9,10,11)",Л042-01187-71/00589927,2021-04-28,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
31,"Общество с ограниченной ответственностью ""Ноябрь""",6324029956,1126324005829,Ульяновская область,"432072, Россия, Ульяновская область, г. Ульяновск, проспект Ульяновский, дом 11, комната 95",Санкт-Петербург,"193230, г. Санкт-Петербург, муниципальный округ Народный, улица Крыленко, дом 1, корпус 1, строение 3, часть помещения 4-Н",Л042-01184-63/00285481,2020-06-22,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
32,"Общество с ограниченной ответственностью ""Фармтрейд""",6321315934,1136320014423,Самарская область,"445057, Россия, Самарская область, г. Тольятти, Приморский бульвар, д. 29-Б, кабинет 4",Санкт-Петербург,"198206, г. Санкт Петербург, ул. Адмирала Коновалова, д.2-4, лит. А, 23Н, ч.пом. № 3, пом. № 2, 4-7",Л042-01184-63/00266332,2020-11-13,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных средств для медицинского применения
33,"Общество с ограниченной ответственностью ""Фармтрейд""",6321315934,1136320014423,Самарская область,"445057, Россия, Самарская область, г. Тольятти, Приморский бульвар, д. 29-Б, кабинет 4",Санкт-Петербург,"190031, г. Санкт-Петербург, Московский проспект, д.2/6, лит.А, пом.72Н",Л042-01184-63/00266332,2020-11-13,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
34,"Общество с ограниченной ответственностью ""Формула здоровья""",6324005024,1096324004666,Самарская область,"445057, Россия, Самарская область, г. Тольятти, Приморский бульвар, дом 29-Б, кабинет № 4",Санкт-Петербург,"197373, г. Санкт Петербург, Комендантский проспект, д.64, корп.1, строение 1, пом.49-Н",Л042-01184-63/00264032,2020-06-03,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
35,"Общество с ограниченной ответственностью ""Формула здоровья""",6324005024,1096324004666,Самарская область,"445057, Россия, Самарская область, г. Тольятти, Приморский бульвар, дом 29-Б, кабинет № 4",Санкт-Петербург,"196158, г. Санкт-Петербург, Дунайский проспект, д.14, уорп.1, лит.А, пом.33-Н",Л042-01184-63/00264032,2020-06-03,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
36,"Общество с ограниченной ответственностью ""Формула здоровья""",6324005024,1096324004666,Самарская область,"445057, Россия, Самарская область, г. Тольятти, Приморский бульвар, дом 29-Б, кабинет № 4",Санкт-Петербург,"194354, г. Санкт-Петербург, проспект Энгельса, д.113, корп.1, лит.А, 1-Н, ч.пом.№130",Л042-01184-63/00264032,2020-06-03,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
37,"Общество с ограниченной ответственностью ""Июнь""",6321289201,1126320006306,Республика Мордовия,"431440, , Республика Мордовия, М.Р-Н Рузаевский район, г.п. Рузаевка, г. Рузаевка, ул. Ленина, д. 60, помещ. 4",Санкт-Петербург,"198255, г. Санкт-Петербург, Лёни Голикова улица, д. 53, литера А, пом.59-Н",Л042-01183-62/00590121,2020-12-23,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
38,"Общество с ограниченной ответственностью ""Июнь""",6321289201,1126320006306,Республика Мордовия,"431440, , Республика Мордовия, М.Р-Н Рузаевский район, г.п. Рузаевка, г. Рузаевка, ул. Ленина, д. 60, помещ. 4",Санкт-Петербург,"195221, г. Санкт-Петербург, Металлистов проспект, дом 59, литера А, помещение 4-Н, часть пом.18",Л042-01183-62/00590121,2020-12-23,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
39,"Общество с ограниченной ответственностью ""Июнь""",6321289201,1126320006306,Республика Мордовия,"431440, , Республика Мордовия, М.Р-Н Рузаевский район, г.п. Рузаевка, г. Рузаевка, ул. Ленина, д. 60, помещ. 4",Санкт-Петербург,"197350, г. Санкт-Петербург, муниципальный округ Коломяги, Комендантский проспект, дом 71, строение 1, часть пом.37-Н",Л042-01183-62/00590121,2020-12-23,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
40,"Общество с ограниченной ответственностью ""Ангара""",6311997195,1116311004963,Ульяновская область,"433511, Россия, Ульяновская область, г. Димитровград, ул.Куйбышева, д.291, помещение 7",Санкт-Петербург,"195197, г. Санкт-Петербург, Маршала Блюхера проспект, дом 9, корпус 1, строение 1, помещение 23-Н",Л042-01181-16/00590308,2020-12-28,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
41,"Общество с ограниченной ответственностью ""Барбарис""",4632200361,1154632001864,Курская область,"305040, Россия, Курская область, г. Курск, пер. Воротний 2-й , д. 21, ком. 22",Санкт-Петербург,"195426, г. Санкт-Петербург, Косыгина проспект, дом 21, корпус 1, литера А, пом.1-Н, часть пом.1",Л042-01181-16/00588923,2020-11-12,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
42,"Общество с ограниченной ответственностью ""Барбарис""",4632200361,1154632001864,Курская область,"305040, Россия, Курская область, г. Курск, пер. Воротний 2-й , д. 21, ком. 22",Санкт-Петербург,"194358, г. Санкт-Петербург, улица Хошимина, дом 14, литера А, часть пом. 1-Н",Л042-01181-16/00588923,2020-11-12,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
43,"Общество с ограниченной ответственностью ""Арсе""",5902850365,1085902011150,Пермский край,"614077, Россия, Пермский край, г. Пермь, ул. Екатерининская, дом 75, офис 309",Санкт-Петербург,"197110, г. Санкт-Петербург, Морской проспект, д. 29, строение 1, помещение 60-Н",Л042-01181-16/00284894,2020-11-12,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
44,"Общество с ограниченной ответственностью ""Арсе""",5902850365,1085902011150,Пермский край,"614077, Россия, Пермский край, г. Пермь, ул. Екатерининская, дом 75, офис 309",Санкт-Петербург,"197345, г. Санкт-Петербург, муниципальный округ №65, Туристская улица, дом 26, строение 1, часть пом.1-Н",Л042-01181-16/00284894,2020-11-12,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
45,"Общество с ограниченной ответственностью ""Арсе""",5902850365,1085902011150,Пермский край,"614077, Россия, Пермский край, г. Пермь, ул. Екатерининская, дом 75, офис 309",Санкт-Петербург,"198207, г. Санкт-Петербург, Ленинский проспект, д. 119, литера А, пом.4-Н",Л042-01181-16/00284894,2020-11-12,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
46,"Общество с ограниченной ответственностью ""Арсе""",5902850365,1085902011150,Пермский край,"614077, Россия, Пермский край, г. Пермь, ул. Екатерининская, дом 75, офис 309",Санкт-Петербург,"199397, г. Санкт-Петербург, муниципальный округ Остров Декабристов, Наличная ул., д. 44, корпус 1, строение 1, пом.82-Н, ч.пом.1",Л042-01181-16/00284894,2020-11-12,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
47,"Общество с ограниченной ответственностью ""Арсе""",5902850365,1085902011150,Пермский край,"614077, Россия, Пермский край, г. Пермь, ул. Екатерининская, дом 75, офис 309",Санкт-Петербург,"193168, г. Санкт-Петербург, Дыбенко ул., д. 24, корп.1, литера Ю, пом.4-Н",Л042-01181-16/00284894,2020-11-12,Действует,Фармацевтическая деятельность: отпуск лекарственных препаратов для медицинского применения; розничная торговля лекарственными препаратами для медицинского применения; хранение лекарственных препаратов для медицинского применения
