№,Положение об исполнительном органе государственной власти Санкт-Петербурга,№ пункта в положении об ИОГВ,Наименование исполнительного органа государственной власти Санкт-Петербурга,Наименование полномочия в соответствии с Положением об исполнительном органе государственной власти Санкт-Петербурга,Наименование государственной функции,Реестровый номер,Тип,Распоряжение исполнительного органа государственной власти Санкт-Петербурга об утверждении административного регламента
451,"Постановление Правительства Санкт-Петербурга от 16.02.2015 N 98 ""О Комитете имущественных отношений Санкт-Петербурга и признании утратившими силу отдельных постановлений Правительства Санкт-Петербурга""",3.11-2.,Комитет имущественных отношений Санкт-Петербурга,"Осуществляет функции по организации и проведению торгов на предоставление объектов недвижимости в соответствии с Законом Санкт-Петербурга от 26.05.2004 282-43 ""О порядке предоставления объектов недвижимости, находящихся в собственности Санкт-Петербурга, для строительства, реконструкции и приспособления для современного использования"", на право заключения договора о комплексном развитии территории""","Осуществляет функции по организации и проведению торгов на предоставление объектов недвижимости в соответствии с Законом Санкт-Петербурга от 26.05.2004 282-43 ""О порядке предоставления объектов недвижимости, находящихся в собственности Санкт-Петербурга, для строительства, реконструкции и приспособления для современного использования"", на право заключения договора о комплексном развитии территории""",-,Функция контроля (надзора),-
452,"Постановление Правительства Санкт-Петербурга от 16.02.2015 N 98 ""О Комитете имущественных отношений Санкт-Петербурга и признании утратившими силу отдельных постановлений Правительства Санкт-Петербурга""",3.31.,Комитет имущественных отношений Санкт-Петербурга,"Осуществляет формирование, утверждение и ведение перечня недвижимого имущества, находящегося в государственной собственности Санкт-Петербурга, свободного от прав третьих лиц (за исключением имущественных прав субъектов малого и среднего предпринимательства в Санкт-Петербурге) и предназначенного для предоставления во владение и(или) в пользование на долгосрочной основе (в том числе по льготным ставкам арендной платы) субъектам малого и среднего предпринимательства в Санкт-Петербурге и организациям, образующим инфраструктуру поддержки субъектов малого и среднего предпринимательства в Санкт-Петербурге, а также осуществляет прием заявлений арендаторов нежилых помещений, относящихся к субъектам малого и среднего предпринимательства в Санкт-Петербурге, имеющих в соответствии с законодательством преимущественное право на приобретение арендуемого имущества, находящегося в государственной собственности Санкт-Петербурга, о включении арендуемых нежилых помещений в указанный перечень","Осуществляет формирование, утверждение и ведение перечня недвижимого имущества, находящегося в государственной собственности Санкт-Петербурга, свободного от прав третьих лиц (за исключением имущественных прав субъектов малого и среднего предпринимательства в Санкт-Петербурге) и предназначенного для предоставления во владение и(или) в пользование на долгосрочной основе (в том числе по льготным ставкам арендной платы) субъектам малого и среднего предпринимательства в Санкт-Петербурге и организациям, образующим инфраструктуру поддержки субъектов малого и среднего предпринимательства в Санкт-Петербурге",-,Функция контроля (надзора),-
453,"Постановление Правительства Санкт-Петербурга от 16.02.2015 N 98 ""О Комитете имущественных отношений Санкт-Петербурга и признании утратившими силу отдельных постановлений Правительства Санкт-Петербурга""",3.6.,Комитет имущественных отношений Санкт-Петербурга,"Осуществляет учет государственного имущества в части, касающейся составления, ведения и изменения реестров движимого и недвижимого имущества Санкт-Петербурга, а также разработку проектов планируемых изменений в указанные реестры","Осуществляет учет государственного имущества в части, касающейся составления, ведения и изменения реестров движимого и недвижимого имущества Санкт-Петербурга, а также разработку проектов планируемых изменений в указанные реестры",-,Функция,-
454,"Постановление Правительства Санкт-Петербурга от 16.02.2015 N 98 ""О Комитете имущественных отношений Санкт-Петербурга и признании утратившими силу отдельных постановлений Правительства Санкт-Петербурга""",3.25.,Комитет имущественных отношений Санкт-Петербурга,"Осуществляет распоряжение земельными участками, находящимися в государственной собственности Санкт-Петербурга, и земельными участками, расположенными на территории Санкт-Петербурга, государственная собственность на которые не разграничена, в том числе осуществляет юридические действия, связанные с принудительным прекращением прав пожизненного наследуемого владения, постоянного (бессрочного) пользования, безвозмездного срочного пользования земельными участками ввиду их ненадлежащего использования, принимает решения о прекращении права постоянного (бессрочного) пользования земельными участками при наличии заявлений правообладателей об отказе от права постоянного (бессрочного) пользования земельными участками, если указанные полномочия в соответствии с действующим законодательством не отнесены к компетенции иных исполнительных органов государственной власти Санкт-Петербурга, осуществляет юридические действия, связанные с разграничением государственной собственности на землю","Осуществляет распоряжение земельными участками, находящимися в государственной собственности Санкт-Петербурга, и земельными участками, расположенными на территории Санкт-Петербурга, государственная собственность на которые не разграничена, в том числе осуществляет юридические действия, связанные с принудительным прекращением прав пожизненного наследуемого владения, постоянного (бессрочного) пользования, безвозмездного срочного пользования земельными участками ввиду их ненадлежащего использования, принимает решения о прекращении права постоянного (бессрочного) пользования земельными участками при наличии заявлений правообладателей об отказе от права постоянного (бессрочного) пользования земельными участками, если указанные полномочия в соответствии с действующим законодательством не отнесены к компетенции иных исполнительных органов государственной власти Санкт-Петербурга, осуществляет юридические действия, связанные с разграничением государственной собственности на землю",-,Функция,-
455,"Постановление Правительства Санкт-Петербурга от 16.02.2015 N 98 ""О Комитете имущественных отношений Санкт-Петербурга и признании утратившими силу отдельных постановлений Правительства Санкт-Петербурга""",3.25.,Комитет имущественных отношений Санкт-Петербурга,"Осуществляет распоряжение земельными участками, находящимися в государственной собственности Санкт-Петербурга, и земельными участками, расположенными на территории Санкт-Петербурга, государственная собственность на которые не разграничена, в том числе осуществляет юридические действия, связанные с принудительным прекращением прав пожизненного наследуемого владения, постоянного (бессрочного) пользования, безвозмездного срочного пользования земельными участками ввиду их ненадлежащего использования, принимает решения о прекращении права постоянного (бессрочного) пользования земельными участками при наличии заявлений правообладателей об отказе от права постоянного (бессрочного) пользования земельными участками, если указанные полномочия в соответствии с действующим законодательством не отнесены к компетенции иных исполнительных органов государственной власти Санкт-Петербурга, осуществляет юридические действия, связанные с разграничением государственной собственности на землю","Осуществляет иные полномочия в соответствии с действующим законодательством, правовыми актами Губернатора Санкт-Петербурга и Правительства Санкт-Петербурга",-,Функция контроля (надзора),-
456,"Постановление Правительства Санкт-Петербурга от 16.02.2015 N 98 ""О Комитете имущественных отношений Санкт-Петербурга и признании утратившими силу отдельных постановлений Правительства Санкт-Петербурга""",3.11.,Комитет имущественных отношений Санкт-Петербурга,Осуществляет распоряжение государственным имуществом Санкт-Петербурга,Осуществляет распоряжение государственным имуществом Санкт-Петербурга,-,Функция контроля (надзора),-
457,"Постановление Правительства Санкт-Петербурга от 16.02.2015 N 98 ""О Комитете имущественных отношений Санкт-Петербурга и признании утратившими силу отдельных постановлений Правительства Санкт-Петербурга""",3.19.,Комитет имущественных отношений Санкт-Петербурга,Осуществляет приобретение жилых помещений в государственную собственность Санкт-Петербурга для пополнения государственного жилищного фонда Санкт-Петербурга,Осуществляет приобретение жилых помещений в государственную собственность Санкт-Петербурга для пополнения государственного жилищного фонда Санкт-Петербурга,-,Функция контроля (надзора),-
458,"Постановление Правительства Санкт-Петербурга от 16.02.2015 N 98 ""О Комитете имущественных отношений Санкт-Петербурга и признании утратившими силу отдельных постановлений Правительства Санкт-Петербурга""",3.1.,Комитет имущественных отношений Санкт-Петербурга,"Осуществляет приватизацию государственного имущества Санкт-Петербурга (за исключением приватизации жилых помещений в порядке, установленном Законом Российской Федерации от 04.07.1991 № 1541-1 «О приватизации жилищного фонда в Российской Федерации»)","Осуществляет приватизацию государственного имущества Санкт-Петербурга (за исключением приватизации жилых помещений в порядке, установленном Законом Российской Федерации от 04.07.1991 № 1541-1 «О приватизации жилищного фонда в Российской Федерации»)",-,Функция контроля (надзора),-
459,"Постановление Правительства Санкт-Петербурга от 16.02.2015 N 98 ""О Комитете имущественных отношений Санкт-Петербурга и признании утратившими силу отдельных постановлений Правительства Санкт-Петербурга""",3.54.1.,Комитет имущественных отношений Санкт-Петербурга,"Осуществляет полномочия инициатора создания искусственного земельного участка на водном объекте, находящемся в федеральной собственности, или его части","Осуществляет полномочия инициатора создания искусственного земельного участка на водном объекте, находящемся в федеральной собственности, или его части",-,Функция контроля (надзора),-
460,"Постановление Правительства Санкт-Петербурга от 16.02.2015 N 98 ""О Комитете имущественных отношений Санкт-Петербурга и признании утратившими силу отдельных постановлений Правительства Санкт-Петербурга""",3.34.,Комитет имущественных отношений Санкт-Петербурга,"Осуществляет подготовку перечней находящихся в федеральной собственности земельных участков, в том числе земельных участков с расположенными на них объектами недвижимого имущества, находящихся на территории Санкт-Петербурга, необходимых для подготовки единым институтом развития в жилищной сфере предложений об использовании земельных участков, иных объектов недвижимого имущества, находящихся в федеральной собственности, для жилищного строительства, для размещения объектов, предназначенных для производства строительных материалов, изделий, конструкций для целей жилищного строительства, создания парков, промышленных парков, технопарков, бизнес-инкубаторов и иного развития территорий","Осуществляет подготовку перечней находящихся в федеральной собственности земельных участков, в том числе земельных участков с расположенными на них объектами недвижимого имущества, находящихся на территории Санкт-Петербурга, необходимых для подготовки единым институтом развития в жилищной сфере предложений об использовании земельных участков, иных объектов недвижимого имущества, находящихся в федеральной собственности, для жилищного строительства, для размещения объектов, предназначенных для производства строительных материалов, изделий, конструкций парков, промышленных парков, технопарков, бизнес-инкубаторов и иного развития территорий",-,Функция,-
461,"Постановление Правительства Санкт-Петербурга от 16.02.2015 N 98 ""О Комитете имущественных отношений Санкт-Петербурга и признании утратившими силу отдельных постановлений Правительства Санкт-Петербурга""",3.36.,Комитет имущественных отношений Санкт-Петербурга,"Осуществляет планирование и организацию рационального использования земель на территории Санкт-Петербурга в целях совершенствования распределения земель согласно перспективам развития экономики, улучшения организации территорий и определения иных направлений рационального использования земель в соответствии с градостроительной документацией","Осуществляет планирование и организацию рационального использования земель на территории Санкт-Петербурга в целях совершенствования распределения земель согласно перспективам развития экономики, улучшения организации территорий и определения иных направлений рационального использования земель в соответствии с градостроительной документацией",-,Функция,-
462,"Постановление Правительства Санкт-Петербурга от 16.02.2015 N 98 ""О Комитете имущественных отношений Санкт-Петербурга и признании утратившими силу отдельных постановлений Правительства Санкт-Петербурга""",3.4.,Комитет имущественных отношений Санкт-Петербурга,"Осуществляет иные полномочия собственника государственного имущества Санкт-Петербурга, за исключением полномочий, которые в соответствии с действующим законодательством относятся к компетенции иных органов государственной власти Санкт-Петербурга","Осуществляет иные полномочия собственника государственного имущества Санкт-Петербурга, за исключением полномочий, которые в соответствии с действующим законодательством относятся к компетенции иных органов государственной власти Санкт-Петербурга",-,Функция,-
463,"Постановление Правительства Санкт-Петербурга от 16.02.2015 N 98 ""О Комитете имущественных отношений Санкт-Петербурга и признании утратившими силу отдельных постановлений Правительства Санкт-Петербурга""",3.42.,Комитет имущественных отношений Санкт-Петербурга,"Осуществляет государственную кадастровую оценку объектов недвижимости в части принятия решения о проведении государственной кадастровой оценки, в том числе выступает заказчиком работ по определению кадастровой стоимости, утверждает результаты определения кадастровой стоимости, направляет сведения о кадастровой стоимости в уполномоченный федеральный орган исполнительной власти, осуществляющий функции по государственной кадастровой оценке, опубликовывает утвержденные результаты определения кадастровой стоимости","Осуществляет государственную кадастровую оценку объектов недвижимости в части принятия решения о проведении государственной кадастровой оценки, в том числе выступает заказчиком работ по определению кадастровой стоимости, утверждает результаты определения кадастровой стоимости, направляет сведения о кадастровой стоимости в уполномоченный федеральный орган исполнительной власти, осуществляющий функции по государственной кадастровой оценке, опубликовывает утвержденные результаты определения кадастровой стоимости",-,Функция,-
464,"Постановление Правительства Санкт-Петербурга от 16.02.2015 N 98 ""О Комитете имущественных отношений Санкт-Петербурга и признании утратившими силу отдельных постановлений Правительства Санкт-Петербурга""",3.67-1.,Комитет имущественных отношений Санкт-Петербурга,"Осуществляет в соответствии с Федеральным законом «О государственном кадастре недвижимости» постоянное хранение и использование являющихся государственной собственностью Санкт-Петербурга технических паспортов, оценочной и иной хранившейся по состоянию на 1 января 2013 года в органах и организациях по государственному техническому учету и(или) технической инвентаризации учетно-технической документации об объектах государственного технического учета и технической инвентаризации (далее - документация об объектах государственного технического учета и технической инвентаризации)","Осуществляет в соответствии с Федеральным законом «О государственном кадастре недвижимости» постоянное хранение и использование являющихся государственной собственностью Санкт-Петербурга технических паспортов, оценочной и иной хранившейся по состоянию на 1 января 2013 года в органах и организациях по государственному техническому учету и(или) технической инвентаризации учетно-технической документации об объектах государственного технического учета и технической инвентаризации (далее - документация об объектах государственного технического учета и технической инвентаризации)",-,Функция,-
465,"Постановление Правительства Санкт-Петербурга от 16.02.2015 N 98 ""О Комитете имущественных отношений Санкт-Петербурга и признании утратившими силу отдельных постановлений Правительства Санкт-Петербурга""",3.27.,Комитет имущественных отношений Санкт-Петербурга,"Осуществляет в порядке, установленном Правительством Санкт-Петербурга, подготовку заключения о согласовании либо мотивированном отказе в согласовании возможности размещения нестационарных торговых объектов на земельных участках, находящихся в государственной собственности Санкт-Петербурга или государственная собственность на которые не разграничена, в пределах своей компетенции","Осуществляет в порядке, установленном Правительством Санкт-Петербурга, подготовку заключения о согласовании либо мотивированном отказе в согласовании возможности размещения нестационарных торговых объектов на земельных участках, находящихся в государственной собственности Санкт-Петербурга или государственная собственность на которые не разграничена, в пределах своей компетенции",-,Функция,-
466,"Постановление Правительства Санкт-Петербурга от 16.02.2015 N 98 ""О Комитете имущественных отношений Санкт-Петербурга и признании утратившими силу отдельных постановлений Правительства Санкт-Петербурга""",3.39-1.,Комитет имущественных отношений Санкт-Петербурга,"Осуществляет в порядке, установленном Правительством Санкт-Петербурга, подготовку заключения на проект межевания территории","Осуществляет в порядке, установленном Правительством Санкт-Петербурга, подготовку заключения на проект межевания территории",-,Функция,-
467,"Постановление Правительства Санкт-Петербурга от 16.02.2015 N 98 ""О Комитете имущественных отношений Санкт-Петербурга и признании утратившими силу отдельных постановлений Правительства Санкт-Петербурга""",3.11.2.,Комитет имущественных отношений Санкт-Петербурга,Осуществляет внесение государственного имущества Санкт-Петербурга в уставные (складочные) капиталы (фонды) юридических лиц любой организационно-правовой формы в соответствии с законодательством Российской Федерации и Санкт-Петербурга,Осуществляет внесение государственного имущества Санкт-Петербурга в уставные (складочные) капиталы (фонды) юридических лиц любой организационно-правовой формы в соответствии с законодательством Российской Федерации и Санкт-Петербурга,-,Функция,-
468,"Постановление Правительства Санкт-Петербурга от 16.02.2015 N 98 ""О Комитете имущественных отношений Санкт-Петербурга и признании утратившими силу отдельных постановлений Правительства Санкт-Петербурга""",3.67-10,Комитет имущественных отношений Санкт-Петербурга,"Осуществляет ведомственный контроль за соблюдением подведомственными Комитету государственными бюджетными и автономными учреждениями Санкт-Петербурга требований Федерального закона «О закупках товаров, работ, услуг отдельными видами юридических лиц» и иных принятых в соответствии с ним нормативных правовых актов Российской Федерации","Осуществляет ведомственный контроль за соблюдением подведомственными Комитету государственными бюджетными и автономными учреждениями Санкт-Петербурга требований Федерального закона «О закупках товаров, работ, услуг отдельными видами юридических лиц» и иных принятых в соответствии с ним нормативных правовых актов Российской Федерации",-,Функция,-
469,"Постановление Правительства Санкт-Петербурга от 16.02.2015 N 98 ""О Комитете имущественных отношений Санкт-Петербурга и признании утратившими силу отдельных постановлений Правительства Санкт-Петербурга""",3.67-5.,Комитет имущественных отношений Санкт-Петербурга,"Осуществляет ведомственный контроль за соблюдением законодательства Российской Федерации и иных нормативных правовых актов о контрактной системе в сфере закупок в порядке, установленном Правительством Санкт-Петербурга, в отношении подведомственных Комитету заказчиков, осуществляющих закупки товаров, работ, услуг в соответствии с Федеральным законом «О контрактной системе в сфере закупок товаров, работ, услуг для обеспечения государственных и муниципальных нужд»","Осуществляет ведомственный контроль за соблюдением законодательства Российской Федерации и иных нормативных правовых актов о контрактной системе в сфере закупок в порядке, установленном Правительством Санкт-Петербурга, в отношении подведомственных Комитету заказчиков, осуществляющих закупки товаров, работ, услуг в соответствии с Федеральным законом «О контрактной системе в сфере закупок товаров, работ, услуг для обеспечения государственных и муниципальных нужд»",-,Функция,-
470,"Постановление Правительства Санкт-Петербурга от 16.02.2015 N 98 ""О Комитете имущественных отношений Санкт-Петербурга и признании утратившими силу отдельных постановлений Правительства Санкт-Петербурга""",3.7.,Комитет имущественных отношений Санкт-Петербурга,"Осуществляет ведение баз данных государственных предприятий и учреждений и иных коммерческих и некоммерческих организаций, учредителем (участником, акционером, членом) которых является Санкт-Петербург","Осуществляет ведение баз данных государственных предприятий и учреждений и иных коммерческих и некоммерческих организаций, учредителем (участником, акционером, членом) которых является Санкт-Петербург",-,Функция,-
471,"Постановление Правительства Санкт-Петербурга от 16.02.2015 N 98 ""О Комитете имущественных отношений Санкт-Петербурга и признании утратившими силу отдельных постановлений Правительства Санкт-Петербурга""",3.37.,Комитет имущественных отношений Санкт-Петербурга,Организует и осуществляет региональный мониторинг земель,Организует и осуществляет региональный мониторинг земель,-,Функция,-
472,"Постановление Правительства Санкт-Петербурга от 16.02.2015 N 98 ""О Комитете имущественных отношений Санкт-Петербурга и признании утратившими силу отдельных постановлений Правительства Санкт-Петербурга""",3.14-1.,Комитет имущественных отношений Санкт-Петербурга,"Определяет в соответствии с Законом Санкт-Петербурга от 10.02.2010 № 59-19 «Об установлении цены земельных участков в Санкт-Петербурге» порядок определения использования зданий, сооружений в целях здравоохранения, культурного развития и спорта","Определять в соответствии с Законом Санкт-Петербурга от 10.02.2010 № 59-19 «Об установлении цены земельных участков в Санкт-Петербурге» порядок определения использования зданий, сооружений в целях здравоохранения, культурного развития и спорта",-,Функция,-
473,"Постановление Правительства Санкт-Петербурга от 16.02.2015 N 98 ""О Комитете имущественных отношений Санкт-Петербурга и признании утратившими силу отдельных постановлений Правительства Санкт-Петербурга""",3.16.,Комитет имущественных отношений Санкт-Петербурга,"Определяет виды особо ценного движимого имущества государственных автономных учреждений, созданных на базе имущества, находящегося в государственной собственности Санкт-Петербурга (далее - автономные учреждения), и государственных бюджетных учреждений Санкт-Петербурга (далее - бюджетные учреждения)","Определяет виды особо ценного движимого имущества государственных автономных учреждений, созданных на базе имущества, находящегося в государственной собственности Санкт-Петербурга (далее - автономные учреждения), и государственных бюджетных учреждений Санкт-Петербурга (далее - бюджетные учреждения)",-,Функция,-
474,"Постановление Правительства Санкт-Петербурга от 16.02.2015 N 98 ""О Комитете имущественных отношений Санкт-Петербурга и признании утратившими силу отдельных постановлений Правительства Санкт-Петербурга""",3.65.,Комитет имущественных отношений Санкт-Петербурга,"Обращается в федеральный орган исполнительной власти, осуществляющий государственную регистрацию прав на недвижимое имущество и сделок с ним, с заявлением о государственной регистрации ограничений (обременений) прав, установленных постановлением Правительства Санкт-Петербурга о резервировании земель, и прекращении таких ограничений (обременений)","Обращается в федеральный орган исполнительной власти, осуществляющий государственную регистрацию прав на недвижимое имущество и сделок с ним, с заявлением о государственной регистрации ограничений (обременений) прав, установленных постановлением Правительства Санкт-Петербурга о резервировании земель, и прекращении таких ограничений (обременений)",-,Функция,-
475,"Постановление Правительства Санкт-Петербурга от 16.02.2015 N 98 ""О Комитете имущественных отношений Санкт-Петербурга и признании утратившими силу отдельных постановлений Правительства Санкт-Петербурга""",3.64.,Комитет имущественных отношений Санкт-Петербурга,"Обращается в федеральный орган исполнительной власти, осуществляющий ведение государственного кадастра недвижимости, с заявлением об исключении из государственного кадастра недвижимости сведений о зарезервированных землях","Обращается в федеральный орган исполнительной власти, осуществляющий ведение государственного кадастра недвижимости, с заявлением об исключении из государственного кадастра недвижимости сведений о зарезервированных землях",-,Функция,-
