№ в ГТИБД,Название,Класс,Кол-во комнат,Кол-во спальных мест,Адрес,Район,Телефоны,Факсы,Официальный сайт,Электронная почта,Примечания,Услуги,Координаты
11931,АСТЕРИЯ,Отель,68,132,"Санкт-Петербург, наб. Реки Фонтанки, 71",Центральный,+7(812)335-68-88;,Нет,Http://www.asteria.ru/,Info@asteria.ru,"Для Вашего пребывания в Санкт-Петербурге, предлагаем забронировать отель «Астерия». Гостиница была открыта в здании постройки начала 20 века, полностью реконструированного в 2005 году. Гостиница расположена в центре Санкт-Петербурга - на набережной реки Фонтанки, рядом с Невским проспектом, Александринским театром, БДТ им. Г. А. Товстоногова, Театром юных зрителей им. А. А. Брянцева, Театром комедии им. Акимова и другими известными достопримечательностями.","Сейф, Номера для некурящих, Лифт, Отопление, Курение на всей территории объекта размещения запрещено, Кондиционер, Места для курения завтрак, интернет","59.926548,30.329199"
11932,Балтиец 1 корпус (семейный),Пансионат,25,25,"Санкт-Петербург, поселок Репино, Приморское шоссе, д. 427, литер В",Курортный,8 (812) 329-39-00,Нет,Www.baltiets.ru,As@turris-management.ru,"Желающим отдохнуть от городского шума и толчеи, от жизни в каменных джунглях, надышаться чистым целебным воздухом нужно приехать в Пансионат Балтиец! Здесь все дышит спокойствием и умиротворением. Пансионат Балтиец загородный отель в поселке Репино, Курортного района Санкт-Петербурга, находящийся на берегу Финского залива, в окружении парка с вековыми соснами и елями.",Трансфер Экскурсионный сервис центр анимации фитнес центр Wi-Fi зона Консьерж Банкомат Камера хранения Парковка,"60.165205,29.872037"
11934,БЕЛЫЕ НОЧИ,Гостиница,156,300,"Санкт-Петербург, пр. Большевиков, 54 к. 1 ЛИТ А",Невский,+7(812)4462104;,Нет,Https://belyenochi-spb.ru/gostinicza/rooms/,Hotelbelnoch@mail.ru,"Гостиница Белые ночи в Санкт-Петербурге – частный отель туристического класса, в 10 км от центра. Гостиница Белые ночи принадлежит туристической фирме с одноименным названием, предлагающей также совершить различные туры. Отель особенно удобен для туристических групп и приезжающих в Северную столицу на собственном транспорте.",Круглосуточная охрана Сейф у администратора Сауна Вызов такси Туристическо-экскурсионный центр Кафе-бар 24 часа,"59.88216656424561,30.489359499999985"
11935,БРИСТОЛЬ,Отель,119,204,"Санкт-Петербург, Расстанная ул., 2, корп.1, ЛИТ. А",Фрунзенский,+7(812)2429900 ;,Нет,Http://bristol-hotel.spb.ru,Info@bristol-hotel.spb.ru,"Трехзвездочный европейский отель «Бристоль» предлагает своим гостям недорогое и комфортабельное размещение в центральной части Санкт-Петербурга, рядом с одной из главных магистралей города Лиговским проспектом. Отель располагается по адресу ул. Расстанная, д. 2К1, в красивом историческом здании 1914 года постройки, в десяти минутах езды от Московского вокзала. В 2011 году отель был полностью перестроен согласно современным требованиям дизайна и архитектуры, и на сегодняшний день предлагает своим гостям 119 новых, просторных и светлых номеров. К Вашим услугам современный ресторан русской и европейской кухни с авторским меню. Наши повара накормят гостей отеля вкуснейшими завтраками в формате »шведского стола« и блюдами по меню «a la carte». Отель располагает тремя конференц-залами.","Ресторан конференц-зал до 50 человек экскурсии билеты в театры, на концерты такси, трансфер прачечная доска и утюг в номер банкомат завтрак Wi-Fi сейф телевидение кондиционер фен","59.908841,30.341407"
11936,ВЕРА,Отель,68,135,"Санкт-Петербург, Суворовский пр., 25/16",Центральный,+7(812)7026190;,+7 (812) 702-61-90,Http://hotelvera.ru,Desk@hotelvera.ru,"Отель Вера находится в бывшем доходном доме купца Степнова по адресу Суворовский проспект д.25. Здание построено архитектором Горленским в 1903 году в стиле «модерн». Владельцы отеля бережно сохраняют подлинные интерьеры. Вы можете увидеть отреставрированные лестницы, изразцовые камины, полюбоваться старинными витражами. Если Вы остановитесь в нашем отеле или посетите ресторан, то будете очарованы любовно воссозданной атмосферой начала XX века","Трансфер (за дополнительную плату), Круглосуточная стойка регистрации, Ускоренная регистрация заезда/отъезда, Услуги по продаже билетов, Камера хранения багажа, Услуги консьержа, Индивидуальная регистрация заезда/отъезда, Прачечная, Конференц-зал/Банкетный зал, Бизнес-центр, Факс/Ксерокопирование, Люкс для новобрачных завтрак, интернет, сейф","59.937121,30.373782"
11938,ГЕЛИОС ОТЕЛЬ,Гостиница,197,391,"Санкт-Петербург, Зеленогорск, Приморское шоссе, 593",Курортный,+7(812)7022626;,Нет,Http://gelios-otel.ru,Office@gelios-otel.ru,"«Гелиос Отель» расположен в тихом сосновом парке на живописном побережье Финского залива в одном из красивейших мест Санкт-Петербурга и Ленинградской области в городе Зеленогорск. Это загородный отель, который предлагает своим гостям разнообразный и доступный отдых и лечение; современную удобную инфраструктуру: все условия, чтобы устроить свадебный или spa-тур, организовать детский летний отдых, корпоративное мероприятие или романтический вечер.","Ресторан, спа, баня, ночной клуб санузел, телевизор, мебель, мини-холодильник, телефон, беспроводной Интернет","60.194826,29.661059"
11939,365 СПБ,Гостиница,145,285,"Санкт-Петербург, ул Боровая, д. 104, литеры: «Д», »Л«, «Б»",Центральный,+7(812)7661046;,Нет,Https://hotel365spb.ru/,Booking-hostel365spb@mail.ru,"Отель ""365 СПБ"" расположен в Санкт-Петербурге, недалеко от центра города и Московского вокзала. К услугам наших гостей бесплатный Wi-Fi , круглосуточная стойка регистрации, платная охраняемая парковка, кафе на территории отеля, визовая поддержка. Отель находится во Фрунзенском районе. Ближайшая станция метро ""Обводной канал"" находится в 10 минутах ходьбы от отеля.","Кафе,бесплатный Wi-Fi, вызов такси и автобусов, камеры хранения, зона отдыха, прачечная, утюги. Холодильник и санузел, душевая на этаже","59.90958,30.339943"
11940,Наука на Миллионной,Гостиница,62,129,"Санкт-Петербург, ул. Миллионная д.27","Адмиралтейский (Корпус 1), Выборгский (Корпус 2)",8 (812) 571-21-39,+7 (812) 982-53-00,Http://hotel-nauka.ru,Hotel-nauka@mail.ru,"Исторический центр города, близость Зимнего Дворца, Русского музея, возможность наблюдать разводку мостов и многое другое. К Вашим услугам разнообразный номерной фонд, который подойдет как для путешествий в одиночку, так и для больших компаний. ( аэропорт Пулково- 20 км)",Wi-Fi вызов такси гладильная комната бесплатный Wi-Fi круглосуточная охрана,"60.01959,30.322462"
11941,Гранд Каньон,Отель,133,254,"Санкт-Петербург, ул. Шостаковича, д. 2, лит. А, пом. 119",Выборгский,+7(812)7035292;,Нет,Http://grandcanyon-hotel.ru/,Info@grandcanyon-hotel.ru,"Отель «Гранд-Каньон« расположен в Выборгском районе в 10 минутах от станции метро »Проспект Просвещения». Высокая транспортная доступность отеля и близость к КАД позволит быстро добраться до любой точки города. 133 уютных номера с собственной мини-кухней и лоджией, оснащены кондиционером, телевизором и сейфом. Предоставляется бесплатный Wi-Fi. У нас Вы можете заказать трансфер и воспользоваться услугами прачечной. На первом этаже расположен ресторан, который порадует гостей разнообразием блюд и напитков. Для удобства гостей предоставляется услуга room service. Круглосуточная стойка регистрации и охрана заботятся о Вашем спокойствии и безопасности.",Ресторан фитнес-центр служба консьержей прачечная гладильная комната бесплатный Wi-Fi охраняемая автостоянка наземная и подземная банкомат авиа и ж/д кассы вызов такси и автобусов камера хранения круглосуточная охрана сейф телевидение кондиционер,"60.059616,30.326405"
11942,Династия,Гостиница,52,117,"191002, Санкт-Петербург, ул. Рубинштейна, д. 28/29, лит. А",Центральный,8 (812) 644-53-43,Нет,Http://eurasia-hotel.ru,Dn@eurasia-hotel.ru,"Гостиница «Династия« со стоимостью номера от 2300 рублей расположена в самом центре Санкт-Петербурга в отреставрированном особняке 19 века на улице Рубинштейна 29, в 7 минутах ходьбы от Невского проспекта и в 2 минутах от станций метро »Достоевская», «Владимирская«. Гостиница открылась в 2007 году и зарекомендовала себя как демократичный по ценам, гостеприимный мини-отель. Название говорит само за себя: в оформлении интерьера использованы геральдические символы знатных родов Российской империи и Европы. Именно поэтому, если Ваша цель - комфортабельная, но недорогая гостиница вблизи Невского проспекта СПб, то »Династия» - это то, что Вы ищете!","Визовая поддержка Прачечная Room service Трансфер Организация экскурсий, услуги гида-переводчика Аудиогид Комната для переговоров Кафе-бар «Династия» Комната хранения багажа Регистрация гостя Карта города Заказ авиа, Ж/Д билетов Заказ билетов в театры, на концерты Интернет Wi-Fi Сейф Вызов такси Детская кроватка для малышей до 3 лет Гостевые зонты Домашняя библиотека","59.926742,30.342252"
11943,ДОСТОЕВСКИЙ,Отель,218,428,"Санкт-Петербург, Владимирский пр.,19",Центральный,7 (812) 331-32-00,+7 (812) 331-32-01,Http://www.dostoevsky-hotel.com,Info@dostoevsky-hotel.com,"Отель Достоевский**** расположен в уникальной историко – архитектурной зоне Санкт – Петербурга. Совершив пятиминутную пешеходную прогулку, во время которой перед Вашим взором предстанет великолепие архитектуры города, Вы достигните Невского проспекта – главной улицы Санкт – Петербурга, связывающей все основные достопримечательности и давно ставшей его визитной карточкой. Фасад здания отеля, представляющего архитектурный стиль модерн (год постройки 1837) и расположенного на Владимирской площади, обращен к Собору Владимирской иконы Божьей Матери (Владимирский собор). Основанный в 1747 году, Владимирский собор явился архитектурной доминантой площади, ее венцом. К площади, ведущей свою историю с 17 века, примыкают пять улиц, пешеходная экскурсия по которым познакомит гостей города с архитектурным, музейным и театральным наследием города. Из окон фасадной части отеля открывается незабываемый панорамный вид на Владимирскую площадь и историческую часть города.","Бар/ресторан фитнес-центр 2 конференц-зал на 90 чел или 4 зала на 25 человек бизнесцентр сауна служба консьержей прачечная и химчистка бесплатный Wi-Fi охраняемая автостоянка банкомат вызов такси камера хранения круглосуточная охрана завтрак Wi-Fi сейф спутниковое телевидение система климат-контроля - в номерах категории Comfort, центральная система кондиционирования во всех остальных номерах - регистрация иностранных граждан","59.92855,30.34686"
11944,ИЖОРА,Гостиница,33,50,"Санкт-Петербург, пос. Металлострой, Железнодорожная ул., 11-а",Колпинский,+7(812)4642576;,Нет,Https://vk.com/hotelizhora,Info@izhora-spb.ru,"Гостиница «Ижора» расположена в живописном месте, где река Ижора впадает в реку Неву. В 1240 году здесь произошло историческое событие - Невская битва, где князь Александр Невский одержал победу над шведским войском. Это первая частная гостиница Петербурга с опытом работы более 28 лет, что является гарантией высококлассного сервиса, и подтверждается Свидетельством о присвоении категории ""Гостиница три звезды"", членством в Российской гостиничной ассоциации и в Ассоциации малых гостиниц Санкт-Петербурга.","Высокоскоростной интернет WI-FI Чай при размещении в день заезда Пользование утюгом Хранение громоздких вещей в камере хранения Вызов такси Вызов скорой помощи Пользование медицинской аптечкой Доставка корреспонденции в номер Побудка к определенному времени Предоставление иголок, ниток Парковка автомашин без охраны для проживающих в гостинице Спутниковое телевидение Оплата услуг по кредитным картам КафеАренда кафе-ресторана Аренда конференц -зала Аренда комнаты переговоров Ксерокопирование: односторонее/двухсторонее Факс Доставка заказа в номер из кафе-ресторана, буфета Завтрак ""Шведский стол"" Питание ""Полупансион"" (Завтрак+ужин) в кафе Карта ""Любимый гость"" Пакетное предложение ""Подарочный сертификат ""Свадебный"" Пакетное предложение ""Конференц-пакет ""Ижора-Бизнес"" (от 10 чел) Пакетное предложение ""Конференц-пакет ""Ижора-Бизнес ДЕНЬ"" (от 10 чел) Оформление регистрационных бланков о прибытии иностранных граждан (продление срока, дети)","59.807722,30.569921"
11945,ИНЖЭКОН,Отель,65,138,"Санкт-Петербург, ул.Социалистическая, 16",Центральный,+7(812)7646906,+7 (812) 712-45-38,Https://hotel.unecon.ru/,Hotel@unecon.ru,"12 мая 2006 года в центре Санкт-Петербурга после полной реконструкции открыл свои двери «Отель ИНЖЭКОН«. Весной 2010 года номерной фонд отеля был частично обновлен и расширен. Появились новые номера, соответствующие европейским стандартам комфортности. Новая мебель, сантехника, кондиционеры, уютный интерьер, бесплатный Wi-Fi-доступ в интернет в каждом номере. На сегодняшний день, в распоряжении гостей 65 номеров различной комфортности, от »эконома», идеального решения для непритязательных гостей, желающих найти недорогой вариант размещения в центре Санкт-Петербурга, до номеров «комфорт« и »аппартаменты»- просторных номеров со всеми удобствами. Гостеприимный персонал, спокойная атмосфера, выгодное месторасположение сделают Ваш отдых и деловую поездку максимально комфортными и приятными!",Вызов такси круглосуточно Предоставляется услуга «Будильник» Предоставление справочной информации о Санкт-Петербурге Интернет Wi-Fi Камера хранения Услуги прачечной самообслуживания Использование гладильной комнаты Предоставление чайника в номер Сейфовые ячейки,"59.922585,30.34386"
11946,"АРТ-ОТЕЛЬ ""КАРЕЛИЯ""",Гостиница,265,412,"Санкт-Петербург, ул. Маршала Тухачевского, 27, корп. 2",Красногвардейский,+7(812)7184048; (800)7002668;,Нет,Http://karelia.spb.ru,Info@karelia.spb.ru,"Расстоние до аэропорта: 35 мин ( по КАД) Расстоние до центра : 20 мин Арт Отель «Карелия» (4 звезды) в Санкт-Петербурге подходит для отдыха и деловых встреч недалеко от центра культурной столицы. Вы можете снять любой из 265 номеров – одноместный, двухместный, twin (номер с двумя кроватями) или double (номер с двуспальной кроватью), полулюкс или двухкомнатный семейный, а также номера с кухней – апартаменты разных категорий.",Бар/ресторан 6 конференц-зала нот 10 до 13- чел человек бизнес - центр салон красоты служба консьержей прачечная гладильная комната бесплатный Wi-Fi охраняемая автостоянка банкоматы вызов такси и автобусов камеры хранения круглосуточная охрана сувенирный киоск room srvice,"59.970042,30.425867"
11947,Киевская на Днепропетровской,Гостиница,120,223,"Санкт-Петербург, Днепропетровская ул., 49 лит.А",Фрунзенский,+7(812)7664703; +7(812)6111028;,Нет,Http://kievskaia.spb.ru,Hotel@kievskaia.spb.ru,"«КИЕВСКАЯ« гостиница в центре Санкт-Петербурга Гостиница »Киевская» состоит из двух пятиэтажных корпусов: Корпус № 1 – ул. Курская 40. Корпус № 2– ул. Днепропетровская 49 Наша гостиница расположена вблизи исторического и делового центра города. При этом в отличии от многих других гостиниц города – «Киевская« это совсем недорогая гостиница в Санкт-Петербурге. Гостиница имеет очень удобное расположение для всех: бизнесменов и деловых туристов привлекает удобное транспортное сообщение со всеми районами Санкт-Петербурга, а любознательные туристы ценят нашу гостиницу эконом класса за близость к достопримечательностям города. В 5-ти минутах ходьбы от гостиницы »Киевская» располагается станция метро«Обводный канал» (М5)!",Бесплатный Wi-Fi чайник фен Ресторан Собственная пекарня Конференц-зал Банкетный зал Русский бильярд Интернет Сейф Отдел бронирования Вызов такси и трансфер Парковка Платная автостоянка Банкомат Терминал оплаты Доп. Услуги горничной Сувенирный киоск,"59.912734,30.358484"
11948,Киевская на Курской,Гостиница,165,330,"192202, Санкт-Петербург, Курская ул., 40",Фрунзенский район,+7(812)6111028;,Нет,Http://kievskaia.spb.ru,Hotel@kievskaia.spb.ru,"«КИЕВСКАЯ« гостиница в центре Санкт-Петербурга Гостиница »Киевская» состоит из двух пятиэтажных корпусов: Корпус № 1 – ул. Курская 40. Корпус № 2– ул. Днепропетровская 49 Наша гостиница расположена вблизи исторического и делового центра города. При этом в отличии от многих других гостиниц города – «Киевская« это совсем недорогая гостиница в Санкт-Петербурге. Гостиница имеет очень удобное расположение для всех: бизнесменов и деловых туристов привлекает удобное транспортное сообщение со всеми районами Санкт-Петербурга, а любознательные туристы ценят нашу гостиницу эконом класса за близость к достопримечательностям города. В 5-ти минутах ходьбы от гостиницы »Киевская» располагается станция метро«Обводный канал» (М5)!",Бесплатный Wi-Fi чайник фен Ресторан Собственная пекарня Конференц-зал Банкетный зал Русский бильярд Интернет Сейф Отдел бронирования Вызов такси и трансфер Парковка Платная автостоянка Банкомат Терминал оплаты Доп. Услуги горничной Сувенирный киоск,"59.910898,30.356795"
