№,Положение об исполнительном органе государственной власти Санкт-Петербурга,№ пункта в положении об ИОГВ,Наименование исполнительного органа государственной власти Санкт-Петербурга,Наименование полномочия в соответствии с Положением об исполнительном органе государственной власти Санкт-Петербурга,Наименование государственной услуги в соответствии с административным регламентом,Реестровый номер,Тип,Способы предоставления услуги,"Ссылка на Портале ""Государственные и муниципальные услуги в Санкт-Петербурге""","Распоряжение исполнительного органа государственной власти Санкт-Петербурга, которым утвержден административный регламент"
55,"Постановление Правительства Санкт-Петербурга от 19.12.2017 N 1098 ""Об администрациях районов Санкт-Петербурга""",3.7.4.,Администрации районов Санкт-Петербурга,Осуществлять в соответствии с правовыми актами Правительства Санкт-Петербурга отдельные функции по предоставлению мер социальной поддержки и дополнительных мер социальной поддержки отдельным категориям граждан,"Выполнять отдельные функции по предоставлению меры социальной поддержки в виде дополнительного ежемесячного материального обеспечения тружеников тыла, проживающих в Санкт-Петербурге",7800000010000000228,Услуга,В ИОГВ (ГУ); через МФЦ,Https://gu.spb.ru/188093/,"Распоряжение Комитета по социальной политике Санкт-Петербурга от 17.02.2014 № 38-р ""Об утверждении административного регламента администрации района Санкт-Петербурга по предоставлению государственной услуги по выполнению отдельных функций по предоставлению мер социальной поддержки в виде дополнительного ежемесячного материального обеспечения тружеников тыла, проживающих в Санкт-Петербурге"""
56,"Постановление Правительства Санкт-Петербурга от 19.12.2017 N 1098 ""Об администрациях районов Санкт-Петербурга""",3.7.4.,Администрации районов Санкт-Петербурга,Осуществлять в соответствии с правовыми актами Правительства Санкт-Петербурга отдельные функции по предоставлению мер социальной поддержки и дополнительных мер социальной поддержки отдельным категориям граждан,"Выполнять отдельные функции по предоставлению мер социальной поддержки в виде ежемесячных доплат к пенсии отдельным категориям военнослужащих и членам семей военнослужащих, постоянно зарегистрированных по месту жительства в Санкт-Петербурге",7800000010000000417,Услуга,В ИОГВ (ГУ); через МФЦ; через РПГУ,Https://gu.spb.ru/187885/,"Распоряжение Комитета по социальной политике Санкт-Петербурга от 13.12.2013 № 394-р ""Об утверждении административного регламента администрации района Санкт-Петербурга по предоставлению государственной услуги по выполнению отдельных функций по предоставлению мер социальной поддержки в виде ежемесячных доплат к пенсии отдельным категориям военнослужащих и членам семей военнослужащих, постоянно зарегистрированных по месту жительства в Санкт-Петербурге"""
57,"Постановление Правительства Санкт-Петербурга от 19.12.2017 N 1098 ""Об администрациях районов Санкт-Петербурга""",3.7.4.,Администрации районов Санкт-Петербурга,Осуществлять в соответствии с правовыми актами Правительства Санкт-Петербурга отдельные функции по предоставлению мер социальной поддержки и дополнительных мер социальной поддержки отдельным категориям граждан,"Предоставлять дополнительную меру социальной поддержки в виде ежемесячной социальной выплаты пенсионерам, достигшим возраста 60 лет и старше, неработающим женщинам в возрасте от 55 до 60 лет и инвалидам I и II группы",7800000010000000504,Услуга,В ИОГВ (ГУ); через МФЦ; через РПГУ,Https://gu.spb.ru/187887/,"Распоряжение Комитета по социальной политике Санкт-Петербурга от 03.03.2023 №288-р «Об утверждении Административного регламента администрации района Санкт-Петербурга по предоставлению государственной услуги по предоставлению мер социальной поддержки в виде ежемесячных социальных выплат пенсионерам, достигшим возраста 60 лет и старше, неработающим женщинам в возрасте от 55 до 60 лет и инвалидам I и II группы»"
58,"Постановление Правительства Санкт-Петербурга от 19.12.2017 N 1098 ""Об администрациях районов Санкт-Петербурга""",3.7.4.,Администрации районов Санкт-Петербурга,Осуществлять в соответствии с правовыми актами Правительства Санкт-Петербурга отдельные функции по предоставлению мер социальной поддержки и дополнительных мер социальной поддержки отдельным категориям граждан,"Предоставлять меру социальной поддержки детям-сиротам, детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, лицам, потерявшим в период обучения обоих родителей или единственного родителя, обучающимся по очной форме обучения в государственных образовательных учреждениях, реализующих основные образовательные программы, в виде обеспечения один раз в год проездом к месту жительства и обратно к месту учебы",7800000010000001787,Услуга,В ИОГВ (ГУ); через МФЦ; через РПГУ,Https://gu.spb.ru/187999/,"Распоряжение Комитета по социальной политике Санкт-Петербурга от 26.09.2022 №2470-р «Об утверждении Административного регламента администрации района Санкт-Петербурга по предоставлению государственной услуги по предоставлению меры социальной поддержки детям-сиротам, детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, лицам, потерявшим в период обучения обоих родителей или единственного родителя, обучающимся по очной форме обучения в государственных образовательных учреждениях, реализующих основные образовательные программы, в виде обеспечения один раз в год проездом к месту жительства и обратно к месту учебы»"
59,"Постановление Правительства Санкт-Петербурга от 19.12.2017 N 1098 ""Об администрациях районов Санкт-Петербурга""",3.7.4.,Администрации районов Санкт-Петербурга,Осуществлять в соответствии с правовыми актами Правительства Санкт-Петербурга отдельные функции по предоставлению мер социальной поддержки и дополнительных мер социальной поддержки отдельным категориям граждан,"Выполнять отдельные функции по предоставлению дополнительной меры социальной поддержки семьям, имеющим детей, в виде ежегодной компенсационной выплаты на ребенка в возрасте до 18 лет, не являющегося инвалидом, страдающего заболеванием целиакия",7800000010000040844,Услуга,В ИОГВ (ГУ); через МФЦ,Https://gu.spb.ru/187937/,"Распоряжение Комитета по социальной политике Санкт-Петербурга от 26.04.2022 №1318-р «Об утверждении Административного регламента администрации района Санкт-Петербурга по предоставлению государственной услуги по выполнению отдельных функций по предоставлению меры социальной поддержки в виде ежегодной компенсационной выплаты на ребенка, страдающего заболеванием целиакия»"
60,"Постановление Правительства Санкт-Петербурга от 19.12.2017 N 1098 ""Об администрациях районов Санкт-Петербурга""",3.7.4.,Администрации районов Санкт-Петербурга,Осуществлять в соответствии с правовыми актами Правительства Санкт-Петербурга отдельные функции по предоставлению мер социальной поддержки и дополнительных мер социальной поддержки отдельным категориям граждан,"Предоставлять дополнительную меру социальной поддержки семьям, имеющим детей, в Санкт-Петербурге в виде направления средств ""Материнского (семейного) капитала в Санкт-Петербурге""",7800000010000058307,Услуга,В ИОГВ (ГУ); через МФЦ,Https://gu.spb.ru/187965/,"Распоряжение Комитета по социальной политике Санкт-Петербурга от 23.06.2015 №178-р ""Об утверждении административного регламента администрации района Санкт-Петербурга по предоставлению государственной услуги по предоставлению дополнительной меры социальной поддержки в виде направления средств (части средств) ""Материнского (семейного) капитала в Санкт-Петербурге"""
61,"Постановление Правительства Санкт-Петербурга от 19.12.2017 N 1098 ""Об администрациях районов Санкт-Петербурга""",3.7.4.,Администрации районов Санкт-Петербурга,Осуществлять в соответствии с правовыми актами Правительства Санкт-Петербурга отдельные функции по предоставлению мер социальной поддержки и дополнительных мер социальной поддержки отдельным категориям граждан,"Осуществлять отдельные функции по предоставлению отдельным категориям граждан дополнительной меры социальной поддержки по финансированию за счет средств бюджета Санкт-Петербурга расходов, связанных с предоставлением услуг по изготовлению и ремонту зубных протезов",7800000010000098215,Услуга,В ИОГВ (ГУ); через МФЦ; через РПГУ,Https://gu.spb.ru/188085/,"Распоряжение Комитета по социальной политике Санкт-Петербурга от 19.02.2019 № 79-р ""Об утверждении Административного регламента администрации района Санкт-Петербурга по предоставлению государственной услуги по осуществлению отдельных функций по предоставлению отдельным категориям граждан дополнительной меры социальной поддержки по финансированию за счет средств бюджета Санкт-Петербурга расходов, связанных с предоставлением услуг по изготовлению и ремонту зубных протезов"""
62,"Постановление Правительства Санкт-Петербурга от 19.12.2017 N 1098 ""Об администрациях районов Санкт-Петербурга""",3.7.4.,Администрации районов Санкт-Петербурга,Осуществлять в соответствии с правовыми актами Правительства Санкт-Петербурга отдельные функции по предоставлению мер социальной поддержки и дополнительных мер социальной поддержки отдельным категориям граждан,Выполнять отдельные функции по предоставлению дополнительных мер социальной поддержки в виде обеспечения инвалидов дополнительными техническими средствами реабилитации,7800000010000012826,Услуга,В ИОГВ (ГУ); через МФЦ; через РПГУ,Https://gu.spb.ru/188101/,Распоряжение Комитета по социальной политике Санкт-Петербурге от 13.10.2021 №2913-р «Об утверждении административного регламента администрации района Санкт-Петербурга по предоставлению государственной услуги по выполнению отдельных функций по предоставлению дополнительных мер социальной поддержки в виде обеспечения инвалидов дополнительными техническими средствами реабилитации»
63,"Постановление Правительства Санкт-Петербурга от 19.12.2017 N 1098 ""Об администрациях районов Санкт-Петербурга""",3.7.4.,Администрации районов Санкт-Петербурга,Осуществлять в соответствии с правовыми актами Правительства Санкт-Петербурга отдельные функции по предоставлению мер социальной поддержки и дополнительных мер социальной поддержки отдельным категориям граждан,"Выполнять отдельные функции по предоставлению мер социальной поддержки в виде предоставления объектов государственного дачного фонда, принадлежащего Санкт-Петербургу на праве собственности, различным категориям граждан",7800000010000029638,Услуга,В ИОГВ (ГУ); через МФЦ; через РПГУ,Https://gu.spb.ru/188139/,"Распоряжение Комитета по социальной политике Санкт-Петербурга от 16.08.2013 № 249-р ""Об утверждении административного регламента администрации района Санкт-Петербурга по предоставлению государственной услуги"""
64,"Постановление Правительства Санкт-Петербурга от 19.12.2017 N 1098 ""Об администрациях районов Санкт-Петербурга""",3.7.4.,Администрации районов Санкт-Петербурга,Осуществлять в соответствии с правовыми актами Правительства Санкт-Петербурга отдельные функции по предоставлению мер социальной поддержки и дополнительных мер социальной поддержки отдельным категориям граждан,Выполнять отдельные функции по предоставлению мер социальной поддержки и дополнительных мер социальной поддержки по оплате жилого помещения и коммунальных услуг в Санкт-Петербурге в форме денежных выплат,7800000010000021642,Услуга,В ИОГВ (ГУ); через МФЦ; через РПГУ,Https://gu.spb.ru/188209/,"Распоряжение Комитета по социальной политике Санкт-Петербурга от 13.03.2017 № 105-р ""Об утверждении Административного регламента администрации района Санкт-Петербурга по предоставлению государственной услуги по выполнению отдельных функций по предоставлению мер социальной поддержки и дополнительных мер социальной поддержки по оплате жилого помещения и коммунальных услуг в Санкт-Петербурге в форме денежных выплат"""
65,"Постановление Правительства Санкт-Петербурга от 19.12.2017 N 1098 ""Об администрациях районов Санкт-Петербурга""",3.7.4.,Администрации районов Санкт-Петербурга,Осуществлять в соответствии с правовыми актами Правительства Санкт-Петербурга отдельные функции по предоставлению мер социальной поддержки и дополнительных мер социальной поддержки отдельным категориям граждан,"Предоставлять меру социальной поддержки в виде установления и прекращения выплат ежемесячных доплат к трудовой пенсии по старости, пенсии за выслугу лет, трудовой пенсии по инвалидности лицам, замещавшим должности в органах власти и управления Ленинграда (Санкт-Петербурга)",7800000010000008139,Услуга,В ИОГВ (ГУ); через МФЦ; через РПГУ,Https://gu.spb.ru/187891/,"Распоряжение Комитета по социальной политике Санкт-Петербурга от 08.04.2021 №735-р «Об утверждении Административного регламента администрации района Санкт-Петербурга по предоставлению государственной услуги по предоставлению меры социальной поддержки в виде установления и прекращения выплат ежемесячных доплат к трудовой пенсии по старости, пенсии за выслугу лет, трудовой пенсии по инвалидности лицам, замещавшим должности в органах государственной власти и управления Ленинграда (Санкт-Петербурга)»"
66,"Постановление Правительства Санкт-Петербурга от 19.12.2017 N 1098 ""Об администрациях районов Санкт-Петербурга""",3.7.4.,Администрации районов Санкт-Петербурга,Осуществлять в соответствии с правовыми актами Правительства Санкт-Петербурга отдельные функции по предоставлению мер социальной поддержки и дополнительных мер социальной поддержки отдельным категориям граждан,"Включать в реестр учета граждан, подвергшихся радиационному воздействию вследствие ядерных испытаний на Семипалатинском полигоне и выдача удостоверения единого образца (дубликата удостоверения) гражданам, подвергшимся радиационному воздействию вследствие ядерных испытаний на Семипалатинском полигоне",7800000010000040981,Услуга,В ИОГВ (ГУ); через МФЦ,Https://gu.spb.ru/188043/,"Распоряжение Комитета по социальной политике Санкт-Петербурга от 30.09.2014 № 244-р ""Об утверждении административного регламента администрации района Санкт-Петербурга по предоставлению государственной услуги по включению в реестр учета граждан, подвергшихся радиационному воздействию вследствие ядерных испытаний на Семипалатинском полигоне и выдаче удостоверения единого образца (дубликата удостоверения) гражданам, подвергшимся радиационному воздействию вследствие ядерных испытаний на Семипалатинском полигоне"""
67,"Постановление Правительства Санкт-Петербурга от 19.12.2017 N 1098 ""Об администрациях районов Санкт-Петербурга""",3.7.4.,Администрации районов Санкт-Петербурга,Осуществлять в соответствии с правовыми актами Правительства Санкт-Петербурга отдельные функции по предоставлению мер социальной поддержки и дополнительных мер социальной поддержки отдельным категориям граждан,Оформлять и выдавать гражданам удостоверения (дубликата удостоверения) участника ликвидации последствий катастрофы на Чернобыльской АЭС,7800000010000045834,Услуга,В ИОГВ (ГУ); через МФЦ,Https://gu.spb.ru/188033/,"Распоряжение Комитета по социальной политике Санкт-Петербурга от 18.09.2014 № 234-р ""Об утверждении административного регламента администрации района Санкт-Петербурга по предоставлению государственной услуги по оформлению и выдаче гражданам удостоверения (дубликата удостоверения) участника ликвидации последствий катастрофы на Чернобыльской АЭС"""
68,"Постановление Правительства Санкт-Петербурга от 19.12.2017 N 1098 ""Об администрациях районов Санкт-Петербурга""",3.7.4.,Администрации районов Санкт-Петербурга,Осуществлять в соответствии с правовыми актами Правительства Санкт-Петербурга отдельные функции по предоставлению мер социальной поддержки и дополнительных мер социальной поддержки отдельным категориям граждан,"Оформлять и выдавать удостоверения гражданам, подвергшимся воздействию радиации вследствие аварии в 1957 году на производственном объединении «Маяк» и сбросов радиоактивных отходов в реку Теча, справок потомкам первого (второго) поколения указанных граждан",7800000010000041005,Услуга,В ИОГВ (ГУ); через МФЦ,Https://gu.spb.ru/188041/,"Распоряжение Комитета по социальной политике Санкт-Петербурга от 30.09.2014 № 245-р ""Об утверждении административного регламента администрации района Санкт-Петербурга по предоставлению государственной услуги по оформлению и выдаче удостоверения гражданам, подвергшимся воздействию радиации вследствие аварии в 1957 году на производственном объединении ""Маяк"" и сбросов радиоактивных отходов в реку Теча, справок детям первого (второго) поколения указанных граждан"""
69,"Постановление Правительства Санкт-Петербурга от 19.12.2017 N 1098 ""Об администрациях районов Санкт-Петербурга""",3.7.4.,Администрации районов Санкт-Петербурга,Осуществлять в соответствии с правовыми актами Правительства Санкт-Петербурга отдельные функции по предоставлению мер социальной поддержки и дополнительных мер социальной поддержки отдельным категориям граждан,"Оформлять и выдавать специальные удостоверения единого образца гражданам, подвергшимся воздействию радиации вследствие катастрофы на Чернобыльской АЭС",7800000010000028596,Услуга,В ИОГВ (ГУ); через МФЦ,Https://gu.spb.ru/188039/,"Распоряжение Комитета по социальной политике Санкт-Петербурга от 15.08.2013 № 246-р ""Об утверждении административных регламентов администрации района Санкт-Петербурга по предоставлению государственных услуг"""
70,"Постановление Правительства Санкт-Петербурга от 19.12.2017 N 1098 ""Об администрациях районов Санкт-Петербурга""",3.7.4.,Администрации районов Санкт-Петербурга,Осуществлять в соответствии с правовыми актами Правительства Санкт-Петербурга отдельные функции по предоставлению мер социальной поддержки и дополнительных мер социальной поддержки отдельным категориям граждан,"Выполнять отдельные функции по предоставлению дополнительных мер социальной поддержки по финансированию расходов, связанных с предоставлением специального транспортного обслуживания отдельным категориям граждан в Санкт-Петербурге",7800000010000055178,Услуга,В ИОГВ (ГУ); через МФЦ,Https://gu.spb.ru/188115/,"Распоряжение Комитета по социальной политике Санкт-Петербурге от 13.10.2021 №2912-р «Об утверждении административного регламента администрации района Санкт-Петербурга по предоставлению государственной услуги по выполнению отдельных функций по предоставлению дополнительных мер социальной поддержки по финансированию расходов, связанных с предоставлением специального транспортного обслуживания отдельным категориям граждан в Санкт-Петербурге»"
71,"Постановление Правительства Санкт-Петербурга от 19.12.2017 N 1098 ""Об администрациях районов Санкт-Петербурга""",3.7.4.,Администрации районов Санкт-Петербурга,Осуществлять в соответствии с правовыми актами Правительства Санкт-Петербурга отдельные функции по предоставлению мер социальной поддержки и дополнительных мер социальной поддержки отдельным категориям граждан,Выполнять отдельные функции по предоставлению дополнительных мер социальной поддержки в виде организации оздоровительного отдыха отдельных категорий граждан в Санкт-Петербурге,7800000010000043288,Услуга,В ИОГВ (ГУ); через РПГУ; через МФЦ,Https://gu.spb.ru/188089/,Распоряжение Комитета по социальной политике Санкт-Петербурга от 30.06.2017 № 397-р «Об утверждении административного регламента администрации района Санкт-Петербурга по предоставлению государственной услуги по выполнению отдельных функций по предоставлению дополнительных мер социальной поддержки в виде организации оздоровительного отдыха отдельных категорий граждан в Санкт-Петербурге»
72,"Постановление Правительства Санкт-Петербурга от 19.12.2017 N 1098 ""Об администрациях районов Санкт-Петербурга""",3.7.4.,Администрации районов Санкт-Петербурга,Осуществлять в соответствии с правовыми актами Правительства Санкт-Петербурга отдельные функции по предоставлению мер социальной поддержки и дополнительных мер социальной поддержки отдельным категориям граждан,"Предоставлять меру социальной поддержки детям-сиротам, детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, в виде денежной компенсации расходов на проезд к месту отдыха и обратно, к месту лечения и обратно и дополнительную меру социальной поддержки лицам, потерявшим в период обучения обоих родителей или единственного родителя, в виде денежной компенсации расходов на проезд к месту лечения и обратно",7800000010000075918,Услуга,В ИОГВ (ГУ); через МФЦ; через РПГУ,Https://gu.spb.ru/188001/,"Распоряжение Комитета по социальной политике Санкт-Петербурга от 26.09.2022 №2467-р «Об утверждении Административного регламента администрации района Санкт-Петербурга по предоставлению государственной услуги по предоставлению меры социальной поддержки детям-сиротам, детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, в виде денежной компенсации расходов на проезд к месту отдыха и обратно, к месту лечения и обратно и дополнительной меры социальной поддержки лицам, потерявшим в период обучения обоих родителей или единственного родителя, в виде денежной компенсации расходов на проезд к месту лечения и обратно»"
73,"Постановление Правительства Санкт-Петербурга от 19.12.2017 N 1098 ""Об администрациях районов Санкт-Петербурга""",3.7.4.,Администрации районов Санкт-Петербурга,Осуществлять в соответствии с правовыми актами Правительства Санкт-Петербурга отдельные функции по предоставлению мер социальной поддержки и дополнительных мер социальной поддержки отдельным категориям граждан,"Предоставлять меры социальной поддержки выпускникам организаций для детей-сирот и детей, оставшихся без попечения родителей, специальных учебно-воспитательных учреждений открытого и закрытого типа, в которых они обучались и воспитывались, выпускникам государственных образовательных учреждений, обучавшимся по очной форме обучения по основным профессиональным образовательным программам и (или) программам профессиональной подготовки по профессиям рабочих, должностям служащих, - детям-сиротам и детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, лицам, потерявшим в период обучения обоих родителей или единственного родителя, за исключением лиц, продолжающих обучение по очной форме в государственных образовательных учреждениях, реализующих основные профессиональные образовательные программы и (или) программы профессиональной подготовки по профессиям рабочих, должностям служащих, в виде единовременного денежного пособия и единовременной денежной компенсации расходов на покупку комплекта одежды, обуви, мягкого инвентаря и оборудования",7800000010000007491,Услуга,В ИОГВ (ГУ); через МФЦ; через РПГУ,Https://gu.spb.ru/188003/,"Распоряжение Комитета по социальной политике Санкт-Петербурга от 30.01.2023 №79-р «Об утверждении Административного регламента администрации района Санкт-Петербурга по предоставлению государственной услуги по предоставлению меры социальной поддержки выпускникам организаций для детей-сирот и детей, оставшихся без попечения родителей, специальных учебно-воспитательных учреждений открытого и закрытого типа, в которых они обучались и воспитывались, выпускникам государственных образовательных учреждений, обучавшимся по очной форме обучения по основным профессиональным образовательным программам и (или) программам профессиональной подготовки по профессиям рабочих, должностям служащих, - детям-сиротам и детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, лицам, потерявшим в период обучения обоих родителей или единственного родителя, за исключением лиц, продолжающих обучение по очной форме в государственных образовательных учреждениях, реализующих основные профессиональные образовательные программы»"
74,"Постановление Правительства Санкт-Петербурга от 19.12.2017 N 1098 ""Об администрациях районов Санкт-Петербурга""",3.7.4.,Администрации районов Санкт-Петербурга,Осуществлять в соответствии с правовыми актами Правительства Санкт-Петербурга отдельные функции по предоставлению мер социальной поддержки и дополнительных мер социальной поддержки отдельным категориям граждан,"Предоставлять меру социальной поддержки в виде ежегодного пособия на приобретение учебной литературы и письменных принадлежностей детям-сиротам и детям, оставшимся без попечения родителей, а также лицам из числа детей-сирот и детей, оставшихся без попечения родителей, лицам, потерявшим в период обучения обоих родителей или единственного родителя, обучающимся в государственных образовательных учреждениях, за исключением государственных образовательных учреждений, реализующих основную общеобразовательную программу дошкольного образования",7800000010000007980,Услуга,В ИОГВ (ГУ); через МФЦ; через РПГУ,Https://gu.spb.ru/188007/,"Распоряжение Комитета по социальной политике Санкт-Петербурга от 11.03.2022 №255-р «Об утверждении административного регламента администрации района Санкт-Петербурга по предоставлению государственной услуги по предоставлению меры социальной поддержки в виде ежегодного пособия на приобретение учебной литературы и письменных принадлежностей детям-сиротам и детям, оставшимся без попечения родителей, а также лицам из числа детей-сирот и детей, оставшихся без попечения родителей, лицам, потерявшим в период обучения обоих родителей или единственного родителя, обучающимся в государственных образовательных учреждениях, за исключением государственных образовательных учреждений, реализующих основную общеобразовательную программу дошкольного образования»"
75,"Постановление Правительства Санкт-Петербурга от 19.12.2017 N 1098 ""Об администрациях районов Санкт-Петербурга""",3.7.4.,Администрации районов Санкт-Петербурга,Осуществлять в соответствии с правовыми актами Правительства Санкт-Петербурга отдельные функции по предоставлению мер социальной поддержки и дополнительных мер социальной поддержки отдельным категориям граждан,"Предоставлять меры социальной поддержки выпускникам государственных образовательных учреждений, специальных учебно-воспитательных учреждений открытого и закрытого типа, в которых они обучались и воспитывались, выпускникам государственных образовательных учреждений, обучавшимся по очной форме обучения в государственных образовательных учреждениях, реализующих основные профессиональные образовательные программы и(или) программы профессиональной подготовки по профессиям рабочих, должностям служащих, - детям-сиротам и детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, лицам, потерявшим в период обучения обоих родителей или единственного родителя, при поступлении в государственные образовательные учреждения, реализующие основные профессиональные образовательные программы и (или) программы профессиональной подготовки по профессиям рабочих, должностям служащих, в виде обеспечения бесплатным комплектом одежды, обуви, мягким инвентарем и оборудованием либо в виде выплаты единовременной денежной компенсации в размере, необходимом для приобретения комплекта одежды, обуви, мягкого инвентаря и оборудования, а также в виде выплаты единовременного денежного пособия",7800000010000007375,Услуга,В ИОГВ (ГУ); через МФЦ; через РПГУ,Https://gu.spb.ru/188005/,"Распоряжение Комитета по социальной политике Санкт-Петербурга от 30.01.2023 №80-р «Об утверждении Административного регламента администрации района Санкт-Петербурга по предоставлению государственной услуги по предоставлению меры социальной поддержки выпускникам государственных образовательных учреждений, специальных учебно-воспитательных учреждений открытого и закрытого типа, в которых они обучались и воспитывались, выпускникам государственных образовательных учреждений, обучавшимся по очной форме обучения в государственных образовательных учреждениях, реализующих основные профессиональные образовательные программы и (или) программы профессиональной подготовки по профессиям рабочих, должностям служащих, - детям-сиротам и детям, оставшимся без попечения родителей, лицам из числа детей-сирот и детей, оставшихся без попечения родителей, лицам, потерявшим в период обучения обоих родителей или единственного родителя, при поступлении в государственные образовательные учреждения, реализующие основные профессиональные программы»"
